Sequence,Author
[ -1.  -1.  -1. ...  78.  40. 144.],0
[ -1.  -1. 144. ...  32.  -1.  -1.],0
"[ 66. 100. 148. 148. 146.  64. 146. 148.  82.   0.  82. 100.  34. 132.
 180.  65.  80.  81. 131.  52.  34.  52.  64.  52.   3.  66. 147.  20.
   4. 132. 132. 100. 111.  74. 110.  60.  92.  65. 100. 189.  44.   8.
   5.  76.  31. 159.   5. 124.   4.  12.  51. 157.  57.  31. 183.  57.
  65.  92.  69. 124. 122.  79. 110.  76.  12.  12.  12.  12.   8. 159.
  12. 156. 100. 111.  52. 121.  36.  47.  41.  41.   8. 172.  38.  12.
  78.  12.  88.  47. 119.  20.  47.  12. 159.  20.  20.  76.  60. 110.
 132. 185. 120.  45. 110. 110.  72. 124. 178.  73.   8.  78.  12.  42.
 173.  12. 150.  84.  66. 152.  69.   8.  41. 159.   5.  78.  44. 180.
  71.  92. 152.   6.  12.  45.  92. 125.   8. 156.  12.  12. 146.   8.
 185.   0.  88.  92.  90.  12.  12.  12.  78.  92.   3.  45. 111. 111.
  71. 137.  69.  12.  88.  12.  10.   8. 172. 156. 152. 100.  12.  12.
  77.  52. 156. 148.  12.  12. 132.   6.   6. 185.  47. 121.  20.  90.
  64. 111.  92. 111.  77.  76.  69. 100.   8.  76.  76.  69. 132.   6.
   6.   8.  20.  73.  77. 111.   6.   8.  13.  12. 178.   5.  88. 159.
 121.  58.  44.  47. 100. 156.  12.  41.  88.  73.  20. 125.  12. 124.
   5.   0.   5.  47.  12.  12.  12.  12.   8. 159. 185. 124. 100. 111.
  52. 121.  36.  47.  41.  41. 180.   8.  66.   8. 146. 180.  88.  47.
 119.  20.  73. 172. 158.  20.  20.  20.  78.  69.  12.  12.  47.  47.
  47.  30.   8.   6.  45.  12. 111. 111.  38.  12.  12.  12. 148.   6.
   6. 185.  47. 121.  20.  78.  64. 111.  77. 111.  77.  76. 141. 100.
   8.  76.  76.   6. 132. 100. 111.  74. 110.  60. 159.  79.   5. 189.
 110.  12.   5.  76.  10.  92.   5. 124.   4.  12.  51. 157.  57.  31.
 183.  57.  65.  92.  69. 124. 122.  79. 110.  76.  10.  12.  12.  12.
   8. 159.  12. 156. 100. 111.  52. 121.  36.  47.  41.  41.   8. 172.
  38.  12.  78.  12.  88.  47. 119.  20.  47.  12.  12.  78.  63.  76.
  60. 110. 159. 132. 124.  12.  15. 110. 110.  72. 124. 178.  73.   8.
  78.  12.  12.  30.  12. 150.  84.  66. 152.  69.   8.  41. 159.   5.
  78.  44. 180.  71.  92. 156. 132.  79.  45.  92. 125.   8. 156.  12.
  12. 146.  12. 185.   0.  92. 108.  90.  47.  12.  12. 125.  92.   3.
  45. 111. 111.  71. 137.  69.  12.  47.  12.  10.   8.  41. 156. 152.
 100.  12.  12.  74.  52. 156. 148. 148.  12.  69.   6.   6. 185.  47.
 121.  20.  90.  64. 111.  92. 111.  77.  76. 141. 100.   8.  76.  76.
  69. 132. 100.   6.   8.  88.  47. 141.  77.   6.   8. 152.  12. 178.
   5.  88. 159. 121.  58.  44.  47. 100. 156.  12.  41.  88.  73.  20.
 125.  12. 124.   5.   0.   5.  47.  12.  12.  12.  12.  12. 159. 185.
 124.   6. 111.  52. 121.  36.  47.  41.  41. 180.   8.  66.   8. 146.
 180.  88.  47. 119.  20.  73.  12. 158.  20.  20.  20.  78.  69.  12.
  12.  47.  47.  47. 125.   8.   6.  12.  12. 111. 111.  38.  12.  12.
  12.  82.   6.   6. 185.  47. 121.  88.  90.  64. 111.  92. 111.  77.
  76. 141. 100.   8.  76.  76.  69. 132.   6.   6.   8.  47.  47.  10.
  10.  82.   8. 148.  38.  50.  50.  34.  34.  34.  34.  34.  34. 144.
 144. 144. 144.  -1.]",0
"[147.  65.  64. 146.   8.  50. 160.  50. 100.  66. 144.  66.   3. 146.
  32. 148.  12.  17.  13. 132.  69.  37.   5. 180. 188. 127.  60.  20.
  88. 180.  41. 153. 168.  47.  12. 145.  12.  69. 156.  37.  12.  92.
  12. 132. 100. 100.  12. 156. 156. 132. 147.  47.  12.  69.  12.  37.
 156.   3. 140.  12.  28.  60.  78.  78. 190.  76. 106. 159. 159.  65.
  76.  74.  60.   0.  60. 124. 140.  12. 190. 190.  76.   0. 121.  73.
  12.  92.  92.   5.   6. 132.   8.  69.  12.  38.  90.  38.   8.  45.
 124.   5.   5. 120.  78. 180.  44. 180.  12.  77.  92.  88.  12.  78.
  92. 156.  76.  20.  72. 156.  78.  78. 172.  12.  52. 141. 148.  47.
  47.  78.  30.  76. 106.  14.  76.  77.  44.  45.  12.  13.  47.  44.
  42. 156.   8. 156.  30.  44. 121.  78.  20.  78.  22. 127. 125. 122.
  33.  60.  78. 153. 116. 116.  95. 156. 156.  76.  76. 111.  40.  79.
  88.  45. 186. 156. 124. 117.  20.  20.  79. 156. 159.  47.  92.  64.
 156.  12.  30.  25. 156. 111.  44.  44. 111.  77.  12.  90.  74.  34.
 142. 111.  41.   3.  14.  73.  41.  30. 111.  92.  30.  78. 172. 159.
  50. 152. 156.  50. 160.  50. 100.  66. 144.  66.   3. 146.  32. 148.
  12.  17.  13. 132.  69. 100.   5. 180. 188. 127.  60.  20.  88.  73.
  41.  68. 168.  47.  12. 145.  12.  69. 156.  37.  12.  92.  12. 132.
 100. 100.  12. 156. 156. 132. 147.  47.  47.  69.  12.  37. 156.   3.
 140.  12.  12.  60.  78.  78. 190.  60. 106. 159. 159.  65.  76.  74.
  60.  52.  60. 124. 140.  12. 190. 190.  76.   0. 121.  73.  47.  92.
  92.   5.   6.  37. 156.  69.  12. 172.  90.  38.   8.  45. 124.   5.
   5. 120.  78. 117.  44.  44.  73.  30.  92.  88.  12.  92.  92. 156.
  76.  20.  72.  92.  78.  78. 172.  45.  52. 141. 148.  47.  47.  78.
  30.  76.  92.  14.  76.  77. 111.  14.  12.  13.  47.  44.  42. 156.
   8.  37.  30.  44.  76.  78.  20.  78.  22. 127. 125. 122.  33.  60.
  78.  92. 188. 191.  95. 156. 156.  76.  72. 111.  40.  79.  88.  45.
 186. 156. 124.  44.  20.  20.  79. 156. 159.  47.  92.  64. 156.  12.
  44.  25.  44. 111.  44.  44. 111.  77.  12.  90.  74.  34. 142. 111.
  41. 100. 110.  44. 148.  12. 111.  76.  30.  78. 172. 159.  50. 152.
 156.   5.  76.  44. 156.   8.   6. 156.  31.  13.  20. 146. 146.  67.
   3. 178. 100.  34. 144. 144. 144. 144. 144. 144. 144. 144.  -1.]",0
"[144. 144. 144. 144. 144.  64.  64.  64.   0. 112. 112. 112. 112. 176.
 176. 176.  82.   0.   0.   0.  82. 176.  66. 144.  34. 128. 128. 128.
 128. 131.  65.  18.  50. 144.  68.   0.  68.  34.  68.  52.   0.   4.
   4.   0. 106.   0.  68. 131.  36.  81.  84.  66.  88.  67.  12.  35.
 148.   3.   0.   2. 100.   6.   6.   8.  12.  69.  38.  34. 152. 146.
  40.  24. 159. 110. 122. 112.  26. 112. 189.  90.  61.   4.  76.  92.
 124. 112. 189. 183. 111. 137.  12.   1.  42.   3.  77. 138. 124. 144.
  25.  30.  44.  33.  47.   3.  12. 177. 124.  34.  37.  64.   6. 148.
  12. 152. 111.  73. 157.  37. 124. 150.  88.  72.  62. 106. 106.   0.
  74.  42.  78.  43. 156. 172.  47. 106. 141.  71.  12.  69.  77.  77.
  92.   8.  12.  47.  78.  64.  69.  67.  88.  33.  60. 142. 156.  40.
  88. 147.  56.  34.  37.  30.  44. 120.  37.  35.  56.   1.  28.  14.
 124.   8. 117. 115.  24.  18.   5.  94.  12.   0.   0.   0.  70. 117.
  79.  32.  47.  31.  31. 106.   5. 119.  47.  17.  42.  12. 125.  66.
   8.  41.  78.  71.  12.  69. 159. 111.  92.   8.  78.  40.  40.  44.
  44.  78.  44.  41.  30.   5.   5. 156.  47.  77.  92.   5.  13.   4.
   4.   4.  54.  50.  76.  73. 117.  14. 159. 110.   7.  26.  12. 159.
  53.  50.  90.  52.  45.   0. 106.   5. 159. 183.  76.  65.  37. 157.
  12. 106.  77. 152. 152.  90.  65.  77. 156.  25. 189.   5.   5.  45.
  41.  45. 124.  37.  13.  68.  68.  60.  13.   7. 158. 121.  92. 125.
 185.   8.  12.  12.  12.  47.  47.   5.  13.  20.  88.  47.  12.   8.
 159. 119.  47.  73.  12. 178.  69.  12.  12. 106.  92. 159. 159. 112.
  23.  18. 108.  94.  12.   0.   0.  67.  88.  33.  74. 142. 156.  30.
  25. 144.  22.  34. 140.  30.  44. 120. 120.  32. 120. 120. 126. 173.
  44.  57.  12. 132.  12.  41.  40.  24. 159. 110. 110.  26.  79.  40.
  12. 137. 190. 190.  12. 159.   5.  65.  92.  76.  76.  65.  79.  72.
  72.  20.  73.  23.   6.   6. 124.  12.  44.  20.  47.  88. 159. 124.
  12.  92.   5. 100. 185.  93.  12. 180.  47.  56. 158.  92.  47.  60.
 121.  68. 153.  93. 172.  45.  13.  37.  37. 158. 191.  12. 127.  44.
  44. 121. 127.  78.  90.  38. 172.  80.  92.  92. 110.  27.  13.  60.
 127.  38. 125. 151.  92.  19.  30.  44.  44.  78. 111. 124. 156.  40.
 156.  30.  44.  44.  44.  45.  47.  72.  72.  45.  13.  68.   5. 180.
 180. 180. 172.   8.   8.  88.  92.  71.  12. 145. 106. 152.   5. 159.
 109.  44.  76. 110. 110. 109.  44.  77.  77.  33.  47. 111.  92.  12.
  12.  41.  12. 183.  76.  78.  30. 117.  44. 151.  44. 111.  90.  58.
  30.  88.  88.  45. 156.   6.  12. 156.  45.  13.  44. 121.  79.  60.
  47.  72.  62. 106. 106.   0.  77.  12.  30.  43.  30. 156.  92.   5.
  78.  38.  12.  12.  73. 141.  92.  47.  47.  40.  44.  44.  20.  36.
 121.  92. 125.  44.  44.  88.  88.  33.  88. 172. 172. 118. 121.  58.
  44. 156.  38.  38.  12.  92. 156.  40. 146.  68. 121.  33.  88.  40.
  40.  88.  88.  91.  91.  88.  88.  33.  33.  33.  44.  44.  33. 132.
  30.  30.  30. 144. 144. 144. 144. 144. 144. 144. 144. 144. 144. 144.
 144. 144. 144. 144.]",0
"[128.  50.  67.   3.  12.  78.  44.  40.  44.  60.  78. 156.  92. 141.
  77. 156.  76. 159. 159.  12.  44.  47.  78. 125. 125.  12. 159.  94.
  78.  47.  30.  12.  28.  28.  12.  13. 125.  47.  93.  28.  92.  28.
  76.  30.  12.  12. 156.  45.  77.  78.  12. 157. 159.   5.  12. 156.
  47.  77.  12.   8.  12.  12.  12.  12.  78.  77.  77. 141. 157. 159.
  92.  47.  12.  77. 156.  15.  79. 125.  47.  28. 159. 141.  92.  92.
  47. 156.  78. 125.  47. 156.  30.  28.  28.  78.  78.  92.  28. 125.
  78.  78.  47. 156.  12.  15.  92.  79.  15. 190.  76.  92.  62. 110.
 157. 189.  77.  12.  78.  78.  12.  45. 124.  44.  44. 125.  12.  93.
  93.  88. 159. 190.  12.  92.  30.  28.  78.  78.  12.  28.  28.  12.
  28. 157. 125. 157.  15.  44.  76. 125.  12.  28.  47.  28.  28.  28.
  12.  28.  28.  77.  12.  28.  12.  92.  94.  77.  92. 159.  44. 125.
  77.  78.  12.  12.  78.  28.  78.  12.  12.  12.  44.  44.  47.  12.
  12.  12.  92.  28.  28.  92.  13.  28.  28.  28. 158.  78.  30.  13.
  28. 127.  28.  92.  28.  28.  12. 127.  92. 158. 125.  13.  28.  28.
  28. 125.  12.  28.  28.  92.  92. 127. 127.  44. 172.  78.  78.  92.
  28.  47.  78.  12.  12.  78.  47.  13.  28.  28.  78.  12.  12.  12.
  44. 144.]",0
"[ 34.  34.  68.   0.   0.   0.   0.   0. 100.  34.  34.  34.  84.  18.
  84.  34. 100. 112. 112.   0.   0. 114. 114. 112.   5.  68.  68. 100.
 185.   6. 118.   0.   0.  52.  52.  68.  76.  90.  74.  52.  52.  76.
  76.  73. 112. 100. 100.   5.  79. 159.  68.  92.  92.  79. 140. 159.
   5.   5.  79.  79.  92.  92.  92.   5. 125.  13.  60.  74.  13. 159.
   5. 111.  12.   6.  13.  92.  92.  12.  12.  12.  12. 185. 185.  93.
  28.  12.  12.  76.  76.  92. 190. 124.  76.  65.  65.  76.  76. 110.
   5.  92.  92. 125.  28.  47.   0.  47.  47.  12.  28.  12.  12.  12.
  12. 125.  78.  12.  12.  12.  12. 159. 156.  12.  45.  15.  79.  78.
  12.  12. 190. 159.  12. 159.  12.  78.  12.  92. 125. 125.  78.  92.
  92.  13.  13.  13.  92.  93. 125. 121. 121. 157. 127. 127.  44.  44.
 127. 158. 127.  60.  60.  20.  60. 125.  37.  34. 127.  60.  74. 127.
  78.  13. 127. 157.  44. 121.  60.  13.  47.  28.  15. 124. 158. 100.
 153. 127.  13.  92.  28. 127. 158.   6. 127.  28.  92.  13. 127. 158.
 127.  13.  47.  13.  28. 158. 127. 127. 158. 125. 127. 110. 110. 109.
  78.  60.  28.  92. 158.  29.  15.  15.  93.  29.  15. 127. 158. 153.
 153.  60.  92. 127. 127. 157.  47.  13.  92.  34.  44. 121.  60.  44.
  30.  93.  12.  92.  60.  92.  92.  77.  12.  12.  13. 159.  78.  78.
  12.  12. 159.  12.  12. 159. 111.  78.  78.  12.  92. 125.  78.  12.
  12.  28.  45.  12. 190.  12.  12. 156. 190.  12.  13.  44.  30.  44.
  60.  13.  12.  78.  78. 124.  12.  15. 159. 159.  12.  78.  92.  78.
  92.  12.  13. 159. 111.  77.  12. 159. 159.  12.  12. 159.  79.  60.
  12.  12.  12. 111. 159.  12.  12.  12.  12. 159. 156.  44. 125. 125.
 157.  44.  60. 157.  44.  44. 125. 125. 125. 157.  44.  44. 151. 151.
 151. 112. 112.  -1.  -1.  -1.]",0
"[144. 132.  12.  20.  20. 180.  12.  69.  12.  12.  78.  12. 124.   8.
  12.  47.  77. 159. 159.  12.  12. 157. 190.  65.  92. 119.  78.  69.
 125.  88.  79.  37.  28.  12.  47.  12.  30.  78.  12.  12.  78.  30.
  94. 141.  12.  41.  47.  30.  14.   9.  13. 159.  28.  60.  15. 158.
  92.   5.  13.  15.  29. 158. 127. 125.  28.  92.  92.  47.  28. 158.
  92.   7.  28. 127.  28.  14.  45.  60. 127.  44.  44. 121.  28. 112.
  28.   0.  28.   8.  28.  30.  92.  78.  77.  78.  78.  12.  77.  78.
  94.  47.  12.  41.  47.  33.  45.  73.  12.  65.  92.   0.  13.  80.
  47. 121.  78.  43.  30.  43.  78.  45. 141.  12.  47.  77.  77. 125.
 157. 141.  12.  69. 141.  12.  12. 111. 141.  47.  78.  47.  28.  44.
  44. 144.]",0
"[147.  65.  64. 146.   8.  50. 160.  50. 100.  66. 144.  66.   3. 146.
  32. 148.  12.  17.   6. 132.  69. 100.   5. 180. 188.  44.  20.  20.
  88. 180.  41.  68. 168.  47.  12. 145.  12.  69. 156.  37.  12.  92.
  12. 132. 100. 100.  12. 156. 156.  66. 147.  47.  12.  69.  12.  37.
   8.   3. 140.  12.  28.  60.  78.  71. 190.  60. 106. 159.  92.  65.
 124.  74. 110.   0.  60. 124. 140.  12. 190. 183.  76.   0. 121.  73.
  47.  92.  92.   5.   6. 132.   8. 145.  12.  38.  90.  38.   8. 159.
 124.  68.   5. 120.  78. 180.  44.  44.  73.  23.  92.  88.  12.  78.
  92. 156.  76.  20.  72.  92.  78.  78.   8.  12.  52. 141. 148.  47.
  47.  78.  30.  60. 106.  69.  76.  58.  44.  70.  12.  71.  47.  44.
  44.  45.   8.  37.  30.  60. 121.  78.  20.  20.  22.  44. 125. 122.
  33.  60.  78. 153. 116. 140.  95. 156. 156.  76.  72. 111.  40.  79.
  88.  45. 186. 156.  14.  73.  20.  20.  79. 156. 159.  47.  92.  64.
 156.  12.  44.  25.  44. 111.  44.  44. 111.  77.  12.  90.  74.  34.
 142.  52.  41. 100. 110.  73.  41.  30. 111.  92.  30.  73. 172. 159.
  50.  17. 156.  50.  50.  50. 100.  66. 144.  66.   3. 146.  32. 148.
  12.  17.   6. 132.  69. 100.   5. 180. 188.  44.  20.  20.  88. 180.
  41.  68. 168.  47.  12. 145.  12.  69. 156.  37.  12.  92.  12. 132.
 100. 100.  12. 156. 156.  66. 147.  47.  12.  69.  12.  37.   8.   3.
 140.  12.  28.  60.  78.  71. 190.  60. 106. 159.  92.  65. 124.  74.
 110.   0.  60. 124. 140.  12. 190. 183.  76.   0. 121.  73.  47.  92.
  92.   5.   6. 132.   8. 145.  12.  38.  90.  38.   8. 159. 124.  68.
   5. 120.  78. 180.  44.  44.  73.  23.  92.  88.  12.  78.  92. 156.
  76.  20.  72.  92.  78.  78.   8.  12.  52. 141. 148.  47.  47.  78.
  30.  60. 106.  69.  76.  58.  44.  70.  12.  71.  47.  44.  44.  45.
   8.  37.  30.  60. 121.  78.  20.  20.  22.  44. 125. 122.  33.  60.
  78. 153. 116. 140.  28. 156. 190. 110.  72. 111.  40.  79.  88.  45.
 186. 156.  14.  73.  20.  20.  79. 156. 159.  47.  92.  64. 156.  12.
  44.  25.  44. 111.  44.  44. 111.  77.  12.  90.  74.  34. 142.  52.
  41. 100. 110.  73.  41.  30. 111.  92.  30.  73. 172.  73.  64.  17.
 156.   5. 110.  44. 156.   8. 132. 156. 159.  20. 146.  12. 178. 144.
 144. 144.]",0
"[ -1.  -1. 144. 144. 144.  64.  64. 146.   1.   0.   0.   0.   1.  32.
  32.  32. 146.  64.  64.  64. 144. 144. 145.  67. 145. 100. 100.  66.
   5.  65.  65.  20.   6.   3. 147.  33.  38.  35.  64. 100.   3. 145.
  68.  68.  33. 146. 152.  17.  13. 145.  88.  80. 172. 180. 112.  37.
  12.   0.  24. 151.  44. 121.  88.  30.  25. 110. 189. 183.  76.  65.
   0.   0.  92.  80.  33.  32. 124. 112.   5.  71. 156.  12.  69. 106.
 159.   5.  88.  92. 124.   9.  55. 116. 125.  41.  46. 190.  60. 110.
  92.  73.  12.  92. 106.  37. 124.  77. 127.  74.  13. 158.  22.  44.
  79. 191.  44.  60.  77. 125.  12.  26.  44.  60.  88.  38.  47.  45.
  92.   8. 172.  38.  78.  30. 156. 151. 118. 124. 141. 156.  12.  41.
  12. 178. 152.  71. 156.  12.  12.   5.  92.  47.  47.  33.  60.  20.
   0.  12.  28.  88.  88.  92.  28.  12.  41.  77.  12.  92.  14. 105.
  44.  37.   8. 120. 120. 159.  37. 119.  78.  12.  73.   0.  88.  47.
  88.  41. 125.  77. 127.  60.  13.  41. 172. 151.  44.  73.  12. 172.
 125.  77. 127.  60.  44.  40. 172.  34. 121.  88.  88.  41.  94. 190.
 124. 119.  20.  65.  88.  88. 159.  12.   8. 185. 124. 190.  30. 174.
 158.  44.  44.  60. 125.  73.   0.  92.  47. 172.  56.  60. 158. 151.
  40.  45.  78.  12.  69. 148.  69. 111. 137.  12.  12.  41.  41. 158.
  28.  40.  85.  56.  60. 127.  13.   5.  92.  45.  88.  41.  93. 119.
  47.   0.  47.  93. 127.  60.  28.   7.   7.  66. 158. 114.   0.   7.
  92.   5.  89.   6. 172.  15.  85.  60.  92. 158.   5. 172.  28.  92.
 158.  44. 127. 160. 160.  74.  47.  92.   5. 158.  93.  12.  20. 127.
 127. 151.  60.  47.  28.  74. 172. 151.  44.  60.  88. 125.  78.  69.
  69. 148.  12. 111. 137.  78.  78.  80.  80. 152. 172. 160. 113. 127.
  60. 127. 172. 151.  44.  47.  47. 153. 158.  13.   6.   9.  13.  92.
 153.  92. 172.  13.  92.   7.  13.  47.  47. 158. 158.  92.   5.  88.
 172.  14. 158. 121.  47.  41.  41. 158.  92. 153.  66. 153.  92. 157.
  73.   7.  92.   7. 172.  41. 172.  12.  20. 117.  44. 157.  44.  44.
  44.  45. 190.  46.  94.  88.  12.  71.  78. 156. 152.  80.   9.  71.
  78. 119.  12.  45.  13. 159.  13.  41.  12.  47.  78.  12.  92.  41.
  69. 178. 152.  71.  12.  92.  12.  13.  13.  44.  85.  56.  47. 111.
 137.  71. 156.  12. 159.  92.  88.  47.  47.  47.  78.  69.  69.  41.
  12.  12.  12.  42. 152.  41.  12. 156.  13.  69.  82. 132.   3.   3.
 148. 148. 146.   1. 146.  64. 180. 180.  65.  80.  65. 180. 132. 132.
 148. 100.  52.  52.  68.  60.  60.  20.  76.  92.   5.  79. 191.  79.
  52.  60.  69. 185.   5.  73. 156. 156. 185. 106.  10.  76.  52.  74.
  74.  73. 124. 124. 156.  12.  12. 156. 156.  12.  69.  45.  12.  12.
  30.  78.  30.  47.  12. 159. 125.  44.  47.  47.  92.  12.  12. 125.
  78.   5.  79.  45. 159.   5.  92.  76.  72.  92.  92.  79. 159. 190.
 124.  76. 190. 159.  68.  79.  13.  12. 159.  76.  12.  76.  65.  76.
  76.  73. 156.  37.  13.  41.  12.  45.  44.  44.  88.  13. 124. 124.
  37.  13.  12.  12.  47.  93.  78.  12.  12. 156.  12.  41.  47.   5.
  92.  77.   6. 132.  69.  92.  12.  12.  12.  41.  13.   0.  47. 172.
  47.  91.  78.  13.  69.  45.  12.  92.  76. 189.  92.  92.  44.  44.
   5.   5.  92.  45. 190.  76.  76.  76.  76. 159. 159.  14.  79.  79.
 124.  76.   5.  92.   5.  79.  12. 111. 156.  92.  31.  76.  65.  76.
  76.  79. 124.  45.  13. 125.  12.  13.  13.  12.  92.  13.  12.  92.
  12.  12.   0.  47.  12.   3. 159.  88.  12.  12.   8.  47. 180.  41.
  12.  13.  28.  47.  92.  12.  20.  12.  12.  12. 159.  69.  28.  28.
  47. 172.  13. 158.  92.  68. 158.  13.  92.  44.  44. 125.  44. 124.
  37. 127.  60.  74. 116. 158.  92.  88. 172.  47.  12.  12. 156.  30.
  60. 117. 110. 127.  44. 127. 158. 125.  44.  47.  60.  13.  14.  14.
  14. 158. 140.  46. 124. 120.  37. 172.  45.  60.  13.  13.  46. 124.
   6.   5.  93.  78.  12.  85. 125.  44.  12.  12.  92.  44.  44.  36.
  37. 127. 127. 127.  61. 110. 110. 109. 172.  13. 127.  44. 118.  36.
  33.  80.  65.  64.   0. 112.   2.  18. 100.   3. 132. 100. 138.  36.
  40.  17. 146.  68.  66.  31.  57.  50.  74.  65.  65.  17.   6. 145.
 145.  34.  24.  88.  88.  47.  12.  12.  12. 109.  79.  77.  12.  41.
  47. 141.  77.  71. 156.  58. 146. 153. 110.  31.  57. 183.  76.  65.
   5.  17.  47.  88.  88.  47.  31. 124.  92. 127.  40.  92.  88.  38.
  78.  71.  12. 151.  44. 124. 156. 148.  31. 111. 137. 156.  12.   5.
  13.  44.  44.  47.  78.  78.  12.  12.  78.  47.  31. 152.  92.  47.
  12. 159.  12.   8. 124.  44.  47.  93.  31. 111.  77.  30.  69.  31.
  31.  72.  76.  12. 159. 156.  30.  44.  47.  94.  46.  15. 158. 127.
  60.  76. 189. 124. 120.  12.  78.  43.  78.  44.  44.  74.  92. 141.
  76. 141. 137.  76.  76.  17.  78.  47.  47.  12.  12.  78.  78.  12.
  28.  78.  92.  47.  78.   5. 145. 144.]",0
